Linux 4.4.0-111-generic (ath-1) 	02/15/2018 	_x86_64_	(40 CPU)

12:23:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:23:57 PM  all    1.25    0.00    4.13    0.00    0.00    0.00    0.00    0.00    0.00   94.61
12:23:57 PM    0    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:23:57 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM    2    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM    3    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:23:57 PM    4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:23:57 PM    5    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM    6    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
12:23:57 PM    7    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM    8    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:57 PM    9    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   10    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   11    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:57 PM   12    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   13    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   14    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
12:23:57 PM   15    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:57 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   18    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:23:57 PM   19    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:57 PM   20    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   21   48.00    0.00   52.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:23:57 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   23    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   24    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   25    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   26    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
12:23:57 PM   27    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   28    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   29    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   32    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:23:57 PM   33    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
12:23:57 PM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:57 PM   36    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   37    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:57 PM   38    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:23:57 PM   39    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96

12:23:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:23:58 PM  all    2.34    0.00    4.91    0.03    0.00    0.55    0.00    0.00    0.00   92.16
12:23:58 PM    0    2.06    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   95.88
12:23:58 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:58 PM    2    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
12:23:58 PM    3    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
12:23:58 PM    4    1.03    0.00    4.12    0.00    0.00    4.12    0.00    0.00    0.00   90.72
12:23:58 PM    5    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
12:23:58 PM    6    3.96    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   90.10
12:23:58 PM    7    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
12:23:58 PM    8    1.03    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   93.81
12:23:58 PM    9    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:58 PM   10    1.98    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   91.09
12:23:58 PM   11    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
12:23:58 PM   12    0.00    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   94.85
12:23:58 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:58 PM   14    4.00    0.00    8.00    0.00    0.00    4.00    0.00    0.00    0.00   84.00
12:23:58 PM   15    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:58 PM   16    4.08    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   89.80
12:23:58 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:23:58 PM   18    3.00    0.00    2.00    0.00    0.00    9.00    0.00    0.00    0.00   86.00
12:23:58 PM   19   17.35    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   69.39
12:23:58 PM   20    1.02    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   93.88
12:23:58 PM   21   46.00    0.00   54.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:23:58 PM   22    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
12:23:58 PM   23    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:58 PM   24    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
12:23:58 PM   25    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
12:23:58 PM   26    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
