Linux 4.4.0-111-generic (ath-1) 	02/22/2018 	_x86_64_	(40 CPU)

08:54:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:54:56 PM  all    0.05    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   95.05
08:54:56 PM    0    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
08:54:56 PM    1    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:56 PM    2    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:54:56 PM    3    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:54:56 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:54:56 PM    5    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:56 PM    6    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:54:56 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:54:56 PM    8    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:56 PM    9    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:56 PM   10    0.00    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   94.90
08:54:56 PM   11    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:56 PM   12    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:54:56 PM   13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:54:56 PM   14    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:56 PM   15    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:54:56 PM   16    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:56 PM   17    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:56 PM   18    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:56 PM   19    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
08:54:56 PM   20    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:56 PM   21    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
08:54:56 PM   22    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:56 PM   23    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:56 PM   24    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:56 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:54:56 PM   26    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:56 PM   27    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:56 PM   28    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:56 PM   29    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:56 PM   30    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:56 PM   31    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:56 PM   32    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:54:56 PM   33    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:56 PM   34    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:54:56 PM   35    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
08:54:56 PM   36    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
08:54:56 PM   37    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:56 PM   38    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:54:56 PM   39    0.00    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   94.06

08:54:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:54:57 PM  all    1.08    0.00    6.23    0.48    0.00    0.48    0.00    0.00    0.00   91.74
08:54:57 PM    0    1.04    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   92.71
08:54:57 PM    1    0.99    0.00    7.92    0.00    0.00    1.98    0.00    0.00    0.00   89.11
08:54:57 PM    2    1.02    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   95.92
08:54:57 PM    3    0.98    0.00    6.86    0.00    0.00    0.98    0.00    0.00    0.00   91.18
08:54:57 PM    4    1.00    0.00    9.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
08:54:57 PM    5    0.00    0.00    7.00    0.00    0.00    2.00    0.00    0.00    0.00   91.00
08:54:57 PM    6    1.01    0.00    7.07    0.00    0.00    1.01    0.00    0.00    0.00   90.91
08:54:57 PM    7    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
08:54:57 PM    8    0.00    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   92.78
08:54:57 PM    9    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:54:57 PM   10    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:57 PM   11    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:57 PM   12    1.98    0.00    5.94    0.00    0.00    0.99    0.00    0.00    0.00   91.09
08:54:57 PM   13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
08:54:57 PM   14    2.97    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00   93.07
08:54:57 PM   15    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:57 PM   16    7.00    0.00    9.00    0.00    0.00    3.00    0.00    0.00    0.00   81.00
08:54:57 PM   17    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
08:54:57 PM   18    3.03    0.00   11.11    0.00    0.00    2.02    0.00    0.00    0.00   83.84
08:54:57 PM   19   12.75    0.00   14.71   17.65    0.00    1.96    0.00    0.00    0.00   52.94
08:54:57 PM   20    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:54:57 PM   21    0.99    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   95.05
08:54:57 PM   22    0.99    0.00    7.92    0.00    0.00    0.00    0.00    0.00    0.00   91.09
08:54:57 PM   23    0.99    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   93.07
08:54:57 PM   24    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:54:57 PM   25    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
08:54:57 PM   26    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:57 PM   27    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:57 PM   28    1.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:57 PM   29    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:57 PM   30    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:57 PM   31    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:57 PM   32    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00   93.07
08:54:57 PM   33    1.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:57 PM   34    1.01    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   92.93
08:54:57 PM   35    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:57 PM   36    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
08:54:57 PM   37    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
08:54:57 PM   38    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
08:54:57 PM   39    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94

08:54:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:54:58 PM  all    3.06    0.00    4.99    0.00    0.00    2.20    0.00    0.00    0.00   89.75
08:54:58 PM    0    6.86    0.00    4.90    0.00    0.00    3.92    0.00    0.00    0.00   84.31
08:54:58 PM    1    2.04    0.00    0.00    0.00    0.00   11.22    0.00    0.00    0.00   86.73
08:54:58 PM    2    1.05    0.00    5.26    0.00    0.00    1.05    0.00    0.00    0.00   92.63
08:54:58 PM    3    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   96.91
08:54:58 PM    4    5.77    0.00    7.69    0.00    0.00   19.23    0.00    0.00    0.00   67.31
08:54:58 PM    5    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97
08:54:58 PM    6    2.08    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   90.62
08:54:58 PM    7    0.00    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   95.92
08:54:58 PM    8    3.12    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   92.71
08:54:58 PM    9    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:54:58 PM   10    1.06    0.00    6.38    0.00    0.00    0.00    0.00    0.00    0.00   92.55
08:54:58 PM   11    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
08:54:58 PM   12    1.06    0.00    4.26    0.00    0.00    1.06    0.00    0.00    0.00   93.62
08:54:58 PM   13    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
08:54:58 PM   14    4.30    0.00    4.30    0.00    0.00    8.60    0.00    0.00    0.00   82.80
08:54:58 PM   15    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:54:58 PM   16   23.47    0.00   16.33    0.00    0.00   19.39    0.00    0.00    0.00   40.82
08:54:58 PM   17    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
08:54:58 PM   18   11.65    0.00    6.80    0.00    0.00   16.50    0.00    0.00    0.00   65.05
08:54:58 PM   19   42.42    0.00   36.36    0.00    0.00    4.04    0.00    0.00    0.00   17.17
08:54:58 PM   20    3.96    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   91.09
08:54:58 PM   21    2.06    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   94.85
08:54:58 PM   22    1.01    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   94.95
08:54:58 PM   23    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
08:54:58 PM   24    1.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
