Linux 4.4.0-111-generic (ath-1) 	02/15/2018 	_x86_64_	(40 CPU)

07:12:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:12:22 AM  all    0.10    0.00    2.80    0.00    0.00    0.00    0.00    0.00    0.00   97.10
07:12:22 AM    0    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM    1    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
07:12:22 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM    3    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
07:12:22 AM    4    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM    6    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:12:22 AM    7    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM    9    0.99    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   94.06
07:12:22 AM   10    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
07:12:22 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM   12    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:12:22 AM   13    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM   14    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM   15    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:12:22 AM   16    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:12:22 AM   17    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:12:22 AM   18    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:12:22 AM   19    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM   20    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:12:22 AM   21    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
07:12:22 AM   22    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
07:12:22 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM   24    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
07:12:22 AM   25    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   95.05
07:12:22 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM   27    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM   28    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:12:22 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:12:22 AM   30    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
